Date,Close
01/10/2012,12.07
02/10/2012,12.11
03/10/2012,12.1
04/10/2012,12.43
05/10/2012,12.56
08/10/2012,12.42
09/10/2012,12.23
10/10/2012,12.07
11/10/2012,12.2
12/10/2012,12.08
15/10/2012,12.25
16/10/2012,12.47
17/10/2012,12.66
18/10/2012,12.72
19/10/2012,12.44
22/10/2012,12.48
23/10/2012,12.24
24/10/2012,12.28
25/10/2012,12.48
26/10/2012,12.35
31/10/2012,12.38
01/11/2012,12.4
02/11/2012,12.6
05/11/2012,12.58
06/11/2012,12.63
07/11/2012,12.08
08/11/2012,11.83
09/11/2012,12.18
12/11/2012,12.29
13/11/2012,12.12
14/11/2012,11.92
15/11/2012,11.91
16/11/2012,11.89
19/11/2012,12.14
20/11/2012,12.18
21/11/2012,12.39
23/11/2012,12.55
26/11/2012,12.56
27/11/2012,12.55
28/11/2012,12.72
29/11/2012,12.91
30/11/2012,12.85
03/12/2012,12.8
04/12/2012,12.83
05/12/2012,12.95
06/12/2012,12.98
07/12/2012,13.05
10/12/2012,13.19
11/12/2012,13.32
12/12/2012,13.3
13/12/2012,13.21
14/12/2012,13.11
17/12/2012,13.26
18/12/2012,13.65
19/12/2012,13.75
20/12/2012,13.81
21/12/2012,13.59
24/12/2012,13.57
26/12/2012,13.5
27/12/2012,13.5
28/12/2012,13.41
31/12/2012,13.59
02/01/2013,13.87
03/01/2013,14.11
04/01/2013,14.2
07/01/2013,14.22
08/01/2013,14.55
09/01/2013,14.3
10/01/2013,14.33
11/01/2013,14.4
14/01/2013,14.55
15/01/2013,14.35
16/01/2013,14.2
17/01/2013,14.33
18/01/2013,14.43
22/01/2013,14.79
23/01/2013,14.7
24/01/2013,14.74
25/01/2013,14.71
28/01/2013,14.63
29/01/2013,14.64
30/01/2013,14.6
31/01/2013,14.43
01/02/2013,14.49
04/02/2013,14.4
05/02/2013,14.56
06/02/2013,14.48
07/02/2013,14.61
08/02/2013,14.8
11/02/2013,15.22
12/02/2013,15.37
13/02/2013,15.19
14/02/2013,15.33
15/02/2013,15.43
19/02/2013,15.34
20/02/2013,14.91
21/02/2013,14.73
22/02/2013,14.85
25/02/2013,14.44
26/02/2013,14.52
27/02/2013,14.85
28/02/2013,14.82
01/03/2013,14.82
04/03/2013,14.82
05/03/2013,14.95
06/03/2013,14.91
07/03/2013,14.96
08/03/2013,15.08
11/03/2013,15.26
12/03/2013,15.11
13/03/2013,15.01
14/03/2013,15.11
15/03/2013,15.21
18/03/2013,14.92
19/03/2013,14.8
20/03/2013,14.98
21/03/2013,14.76
22/03/2013,14.87
25/03/2013,14.66
26/03/2013,14.77
27/03/2013,14.55
28/03/2013,14.72
01/04/2013,14.5
02/04/2013,14.82
03/04/2013,14.36
04/04/2013,14.13
05/04/2013,13.86
08/04/2013,13.89
09/04/2013,14.03
10/04/2013,14.45
11/04/2013,14.25
12/04/2013,14.12
15/04/2013,13.52
16/04/2013,13.85
17/04/2013,13.49
18/04/2013,13.64
19/04/2013,13.86
22/04/2013,13.66
23/04/2013,14.1
24/04/2013,14.34
25/04/2013,14.39
26/04/2013,14.34
29/04/2013,14.58
30/04/2013,14.78
01/05/2013,14.65
02/05/2013,15.22
03/05/2013,15.47
06/05/2013,15.6
07/05/2013,15.79
08/05/2013,15.64
09/05/2013,15.39
10/05/2013,15.39
13/05/2013,15.42
14/05/2013,15.71
15/05/2013,15.48
16/05/2013,15.64
17/05/2013,15.65
20/05/2013,15.66
21/05/2013,15.72
22/05/2013,15.63
23/05/2013,15.58
24/05/2013,15.43
28/05/2013,15.59
29/05/2013,16.01
30/05/2013,16.16
31/05/2013,15.8
03/06/2013,16.01
04/06/2013,15.75
05/06/2013,15.43
06/06/2013,15.59
07/06/2013,16
10/06/2013,15.95
11/06/2013,15.84
12/06/2013,15.48
13/06/2013,15.72
14/06/2013,15.48
17/06/2013,15.77
18/06/2013,16.06
19/06/2013,16.08
20/06/2013,16.21
21/06/2013,16.01
24/06/2013,15.49
25/06/2013,15.71
26/06/2013,15.99
27/06/2013,16
28/06/2013,16.02
01/07/2013,16.21
02/07/2013,16.08
03/07/2013,16.11
05/07/2013,16.38
08/07/2013,16.93
09/07/2013,17.07
10/07/2013,17.25
11/07/2013,17.33
